ID,H1,H2,H3,H4,H5,H6,H7,H8,H9,N2,N3,N4,N5,N6,N7,N8,N9,N10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,C1,C2,C3,C4,C5,C6,C7,C8,C9,Sexo,,,
1,1,1,1.00,2,1,1,97,61,12,22,12,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
2,1,2,1.00,1,1,2,20,32,20,75,18,20,1,0,5,4,1,2,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,,,
3,1,1,1.00,1,0,2,16,35,20,59,14,17,0,1,5,4,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
4,1,9,1.00,0,2,2,20,26,20,48,20,97,1,0,4,5,1,3,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,,
5,2,2,1.00,0,1,4,98,25,12,42,98,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
6,2,2,1.00,5,0,7,8,59,10,0,6,97,0,2,5,2,4,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
7,2,1,1.00,3,1,7,8,46,10,0,98,97,8,0,5,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
8,2,2,1.00,4,0,7,5,99,16,60,6,97,0,8,5,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
9,2,2,1.00,3,2,7,6,57,10,0,5,97,8,0,4,5,1,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
10,1,2,1.00,2,1,1,8,64,14,38,12,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
11,1,2,1.00,0,1,6,12,72,9,36,98,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
12,1,1,1.00,5,0,2,8,67,12,28,8,13,0,1,4,5,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
13,1,2,1.00,0,0,1,11,33,15,65,12,14,0,1,5,4,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
14,3,2,1.00,1,2,2,12,23,14,49,12,97,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
15,1,2,1.00,1,2,7,12,33,12,50,12,97,1,0,3,5,1,4,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,,,
16,1,1,1.00,2,2,6,8,59,12,0,98,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
17,1,2,1.00,1,0,4,6,60,14,32,6,97,0,1,4,5,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
18,1,1,1.00,2,2,6,0,77,9,36,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
19,2,2,1.00,2,0,12,8,52,14,51,12,8,0,1,4,5,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
20,2,1,1.00,1,3,5,98,55,7,42,98,16,1,0,1,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
21,2,1,1.00,1,2,2,12,37,14,42,12,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
22,3,2,1.00,0,0,7,8,45,9,0,99,97,0,8,1,4,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
23,2,3,1.00,0,2,4,98,34,12,42,98,98,8,0,2,4,1,5,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
24,2,3,1.00,3,1,7,98,35,9,0,98,9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
25,2,2,1.00,1,2,6,8,35,13,0,98,97,2,0,5,4,2,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
26,2,3,1.00,0,1,7,97,47,12,41,9,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
27,2,3,1.00,3,0,4,99,24,11,55,99,97,0,2,4,5,1,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
28,2,2,1.00,0,2,5,12,28,12,42,14,11,1,0,1,5,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
29,1,1,1.00,2,0,1,16,57,19,75,12,12,0,1,5,3,2,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
30,3,1,1.00,2,1,1,15,44,18,65,12,12,2,0,5,3,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
31,1,2,1.00,1,0,7,98,75,14,66,8,97,0,1,1,5,3,2,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,
32,1,2,1.00,3,0,0,12,58,16,60,98,97,0,1,4,5,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
33,1,2,1.00,1,0,2,8,49,13,36,8,12,0,1,1,5,2,3,4,2,2,2,2,2,1,1,2,2,9,9,9,9,9,1,2,2,2,1,,,
34,1,1,1.00,0,0,2,12,22,14,49,99,97,0,1,5,4,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
35,1,1,1.00,3,2,0,18,44,17,52,12,20,1,0,5,4,1,2,3,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,
36,1,2,1.00,2,0,1,15,48,19,75,99,16,0,1,5,4,1,2,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,,,
37,1,3,1.00,2,2,4,12,23,12,41,98,12,1,0,4,5,1,2,3,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,,,
38,1,1,1.00,0,1,1,97,56,15,51,98,97,2,0,4,5,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
39,1,2,1.00,0,0,5,8,25,13,39,98,97,0,1,4,5,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
40,1,2,3.00,0,2,2,99,78,12,45,99,97,2,0,1,5,2,3,4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,
41,1,2,3.00,3,1,3,13,37,15,46,14,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
42,1,1,3.00,4,0,10,8,60,12,36,98,12,0,1,3,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
43,1,1,3.00,0,2,1,16,30,16,46,16,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
44,1,2,3.00,0,0,1,97,21,13,50,14,97,0,1,3,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
45,1,1,3.00,3,1,0,99,65,13,0,99,97,2,0,5,4,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
46,3,2,3.00,8,2,2,6,64,11,30,6,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
47,1,2,3.00,0,0,6,14,31,18,64,11,16,0,1,5,4,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,,
48,1,2,3.00,3,2,2,8,64,12,40,8,13,2,0,4,2,1,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
49,1,1,3.00,2,1,1,12,39,18,60,13,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
50,1,2,3.00,0,3,1,16,29,16,46,12,97,1,0,4,5,1,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,
51,1,3,3.00,2,2,5,16,57,18,0,18,97,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
52,1,2,3.00,0,0,1,12,35,14,44,98,12,0,1,5,4,1,2,3,1,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,1,,,
53,2,3,3.00,0,1,8,12,22,15,29,16,97,1,0,4,3,5,1,2,1,2,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,,,
54,1,1,3.00,0,1,3,12,35,16,51,12,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
55,1,2,3.00,0,1,4,16,43,20,64,18,97,1,0,4,5,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,
56,1,1,3.00,2,1,3,12,35,12,48,13,97,1,0,5,4,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,,
57,1,2,3.00,3,1,2,12,70,12,20,8,97,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,
