ID;D;M;A;S;X;Y
742163727;29;11;2017;53389;417;116
742163727;29;11;2017;53389;282;83
627658531;29;11;2017;53390;169;88
627658531;29;11;2017;53390;125;91
627658531;29;11;2017;53390;93;86
627658531;29;11;2017;53390;39;55
627658531;29;11;2017;53390;10;50
805449200;29;11;2017;53390;9;51
805449200;29;11;2017;53390;4;62
805449200;29;11;2017;53390;13;139
805449200;29;11;2017;53390;29;182
551321734;29;11;2017;53391;36;184
551321734;29;11;2017;53391;21;408
551321734;29;11;2017;53391;31;499
927599115;29;11;2017;53391;33;505
927599115;29;11;2017;53391;52;550
927599115;29;11;2017;53391;63;556
927599115;29;11;2017;53391;116;475
927599115;29;11;2017;53392;164;379
927599115;29;11;2017;53392;166;375
192594991;29;11;2017;53392;167;373
192594991;29;11;2017;53392;165;375
192594991;29;11;2017;53392;164;376
548098045;29;11;2017;53392;163;377
548098045;29;11;2017;53392;164;372
151124620;29;11;2017;53393;164;372
151124620;29;11;2017;53393;253;371
151124620;29;11;2017;53393;761;475
151124620;29;11;2017;53393;855;495
151124620;29;11;2017;53394;859;501
151124620;29;11;2017;53394;875;521
95562150;29;11;2017;53394;875;523
95562150;29;11;2017;53577;897;527
95562150;29;11;2017;53577;1488;828
95562150;29;11;2017;53577;1421;800
781910828;29;11;2017;53577;1378;772
781910828;29;11;2017;53578;1431;826
781910828;29;11;2017;53578;1391;791
137413883;29;11;2017;53578;1374;776
799383182;29;11;2017;53578;1365;766
799383182;29;11;2017;53578;1365;767
353372950;29;11;2017;53578;1355;760
353372950;29;11;2017;53578;510;438
353372950;29;11;2017;53579;73;368
618368824;29;11;2017;53579;62;365
618368824;29;11;2017;53579;402;539
618368824;29;11;2017;53579;451;565
81851413;29;11;2017;53579;441;556
81851413;29;11;2017;53579;356;459
81851413;29;11;2017;53579;312;438
81851413;29;11;2017;53579;310;439
81851413;29;11;2017;53580;342;447
346847288;29;11;2017;53580;344;450
346847288;29;11;2017;53580;346;451
346847288;29;11;2017;53580;351;456
346847288;29;11;2017;53580;558;474
346847288;29;11;2017;53580;931;568
165832930;29;11;2017;53580;944;569
165832930;29;11;2017;53581;1008;591
165832930;29;11;2017;53581;1098;648
165832930;29;11;2017;53581;1181;756
824500256;29;11;2017;53581;1188;758
824500256;29;11;2017;53581;1190;759
824500256;29;11;2017;53581;1191;755
232342092;29;11;2017;53581;1192;755
232342092;29;11;2017;53582;1196;725
232342092;29;11;2017;53582;1199;702
232342092;29;11;2017;53582;1146;732
232342092;29;11;2017;53582;1142;728
232342092;29;11;2017;53582;1144;720
232342092;29;11;2017;53583;1147;719
232342092;29;11;2017;53583;1149;718
232342092;29;11;2017;53583;1145;720
232342092;29;11;2017;53583;1149;721
783108169;29;11;2017;53583;1148;720
783108169;29;11;2017;53583;1139;717
783108169;29;11;2017;53584;1010;659
783108169;29;11;2017;53584;935;610
783108169;29;11;2017;53584;930;608
797278550;29;11;2017;53584;929;607
797278550;29;11;2017;53584;889;565
797278550;29;11;2017;53584;846;523
759110152;29;11;2017;53584;846;521
759110152;29;11;2017;53598;1225;564
759110152;29;11;2017;53599;1365;756
873827113;29;11;2017;53599;1265;743
873827113;29;11;2017;53599;210;778
873827113;29;11;2017;53599;287;768
873827113;29;11;2017;53599;257;752
873827113;29;11;2017;53599;182;771
873827113;29;11;2017;53599;165;767
873827113;29;11;2017;53599;407;765
873827113;29;11;2017;53600;398;767
873827113;29;11;2017;53600;420;764
873827113;29;11;2017;53600;491;758
961110603;29;11;2017;53600;524;756
961110603;29;11;2017;53600;533;753
961110603;29;11;2017;53600;541;752
961110603;29;11;2017;53600;579;749
961110603;29;11;2017;53601;583;750
961110603;29;11;2017;53601;576;749
222804506;29;11;2017;53601;576;749
222804506;29;11;2017;53601;575;748
222804506;29;11;2017;53601;574;732
222804506;29;11;2017;53601;576;724
222804506;29;11;2017;53601;541;458
222804506;29;11;2017;53601;669;-9
10225696;29;11;2017;53602;663;6
10225696;29;11;2017;53602;649;35
898944187;29;11;2017;53602;643;43
898944187;29;11;2017;53602;637;35
