Fech.,Abertura,Mínimo,Máximo,Volume,Negócios
19.34,18.42,18.42,19.63,1707747172,63308
18.29,18.4,18,18.46,725655241,38017
18.47,18.47,18.09,18.47,620941511,28838
18.26,18.31,18.03,18.42,608457563,29769
18.22,18.35,17.93,18.53,886368844,47056
18.36,17.92,17.81,18.36,1057469228,60323
17.65,17.35,17.3,17.84,1035475161,40192
17.35,17.35,17.15,17.44,501946569,28420
17.3,17.04,17.02,17.41,792052844,37013
17.25,16.88,16.84,17.3,648199393,33206
16.8,16.92,16.77,17.05,483077986,39273
17.03,17.03,16.96,17.16,598574634,36870
17.03,17.03,16.71,17.03,480575914,36507
16.83,16.7,16.57,16.86,452007598,37542
16.73,16.78,16.62,16.96,624099864,39461
16.7,16.49,16.37,16.72,927606676,41424
16.55,16.19,16.19,16.55,549626494,40659
16.1,16.1,16,16.13,305803856,28450
16.05,15.99,15.98,16.14,378224276,21264
15.97,15.75,15.69,15.99,351819956,14164
15.75,15.75,15.69,15.89,295397537,21514
15.86,15.31,15.3,15.87,737905109,37968
15.24,15.21,15.17,15.3,306921821,39053
15.14,15.18,15.06,15.25,342657855,31005
15.22,15.16,15.13,15.33,651555651,31613
14.95,15.05,14.95,15.24,839397400,36984
15.01,15.1,15,15.31,561970946,32439
15.18,15.65,15.11,15.68,724415554,41197
15.49,15.36,15.18,15.49,554640497,31238
15.38,15.48,15.37,15.57,328680933,19956
15.35,15.51,15.35,15.68,615406307,23176
15.26,15.3,15.07,15.49,570478133,32757
15.52,15.22,15.14,15.7,605065038,34675
15.31,15.5,15.21,15.83,470538978,27293
15.48,15.65,15.46,15.8,683266621,34774
15.61,15.34,15.26,15.77,666129728,42891
15.38,15.3,14.99,15.47,806185902,60303
15.33,15.87,15.32,15.92,710639871,46659
15.84,15.93,15.81,16.04,484192071,41853
15.87,16.01,15.78,16.02,451529465,30282
16.1,16.1,16.04,16.37,304363408,16753
16.19,15.98,15.94,16.26,247909767,18732
16.11,16.09,15.93,16.24,602225860,40072
15.9,16.15,15.85,16.31,739091826,35238
16.02,15.92,15.81,16.12,613846991,34533
15.81,15.62,15.48,16.04,674480853,38668
15.35,16.5,15.28,16.52,1404322730,83647
16.64,16.69,16.39,16.77,476561809,30315
16.72,16.71,16.51,16.81,599722639,27267
16.72,16.89,16.72,16.94,494702758,25625
16.95,16.69,16.51,16.95,688793384,37793
16.5,17.31,16.5,17.35,1033694895,43964
17.43,17.05,16.98,17.44,793731732,44037
16.94,16.96,16.68,17.01,550193135,30409
16.9,16.99,16.88,17.1,660787853,37111
16.77,16.9,16.72,16.95,542617551,29478
16.78,16.97,16.74,17.17,937168340,42503
17.03,16.77,16.65,17.09,773960391,45264
16.73,16.73,16.66,16.89,634774995,43856
16.72,16.53,16.45,16.73,622846482,25112
16.51,16.28,16.17,16.51,755262916,39059
16.2,16.29,16.12,16.29,476553486,32985
16.22,16.19,16.17,16.39,528213737,33133
16.15,16,15.9,16.16,395933123,18544
16.13,16.14,16.07,16.22,411901359,27413
16.12,16.16,16,16.26,720674050,29888
16.08,16.23,16.06,16.29,386924123,22333
16.08,16.17,16.01,16.25,649520481,29978
16.19,16.13,16.01,16.19,756066329,35170
15.89,15.61,15.59,15.89,434244816,21129
15.69,15.66,15.54,15.77,649597532,36535
15.9,15.88,15.85,16.11,876354878,42013
15.66,15.9,15.65,15.94,750123714,32116
15.98,15.6,15.52,15.98,795836591,39576
15.4,15.19,15.06,15.4,451678662,27921
15.3,15.5,15.3,15.52,437040465,24469
15.34,15.37,15.22,15.5,516972075,30728
15.31,15.7,15.11,15.72,637455923,29442
15.56,15.86,15.56,15.9,591431237,28114
15.84,15.79,15.7,15.96,574734315,29007
15.69,15.6,15.43,15.8,637606589,31366
15.67,15.67,15.58,15.96,726377513,40626
15.87,15.25,15.07,15.88,1235108161,66723
15.14,15.1,14.92,15.17,535421229,33766
15.04,15.04,14.98,15.19,709932291,38318
15.04,15.07,14.99,15.17,715410857,35940
15.04,15.03,15.02,15.26,515099234,43003
